,id,rank,country_full,confederation,rank_date
49295,43815,171,India,AFC,2015-02-12
49296,43859,169,Gambia,CAF,2015-02-12
49297,43981,167,Tahiti,OFC,2015-02-12
49298,44011,167,Belize,CONCACAF,2015-02-12
49299,43907,166,Guyana,CONCACAF,2015-02-12
49300,43885,165,Swaziland,CAF,2015-02-12
49301,43919,164,Suriname,CONCACAF,2015-02-12
49302,43915,162,Puerto Rico,CONCACAF,2015-02-12
49303,20007,162,Guam,AFC,2015-02-12
49304,43824,161,Laos,AFC,2015-02-12
49305,1930407,160,Curaçao,CONCACAF,2015-02-12
49306,20009,170,Montserrat,CONCACAF,2015-02-12
49307,43830,180,Nepal,AFC,2015-02-12
49308,43980,184,Solomon Islands,OFC,2015-02-12
49309,44009,184,Cambodia,AFC,2015-02-12
49310,44000,104,North Macedonia,UEFA,2015-02-12
49311,44007,206,Cook Islands,OFC,2015-02-12
49312,43996,206,Djibouti,CAF,2015-02-12
49313,43900,205,Cayman Islands,CONCACAF,2015-02-12
49314,43882,204,Somalia,CAF,2015-02-12
49315,20006,202,Eritrea,CAF,2015-02-12
49316,20004,202,British Virgin Islands,CONCACAF,2015-02-12
49317,20001,201,Andorra,UEFA,2015-02-12
49318,20012,200,American Samoa,OFC,2015-02-12
49319,43979,199,Papua New Guinea,OFC,2015-02-12
49320,43810,198,Brunei Darussalam,AFC,2015-02-12
49321,1881967,197,US Virgin Islands,CONCACAF,2015-02-12
49322,44039,196,Tonga,OFC,2015-02-12
49323,43895,195,Bahamas,CONCACAF,2015-02-12
49324,20008,194,Mongolia,AFC,2015-02-12
49325,1882637,192,Samoa,OFC,2015-02-12
49326,43977,192,Fiji,OFC,2015-02-12
49327,43982,191,Vanuatu,OFC,2015-02-12
49328,43871,190,Mauritius,CAF,2015-02-12
49329,1935341,189,South Sudan,CAF,2015-02-12
49330,43826,188,Macau,AFC,2015-02-12
49331,1890334,187,Timor-Leste,AFC,2015-02-12
49332,43813,184,Chinese Taipei,AFC,2015-02-12
49333,43814,159,Hong Kong,AFC,2015-02-12
49334,43816,158,Indonesia,AFC,2015-02-12
49335,20002,208,Anguilla,CONCACAF,2015-02-12
49336,43836,156,Singapore,AFC,2015-02-12
49337,43823,128,Kuwait,AFC,2015-02-12
49338,43989,126,Palestine,AFC,2015-02-12
49339,43947,126,Georgia,UEFA,2015-02-12
49340,43864,125,Lesotho,CAF,2015-02-12
49341,43848,124,Burundi,CAF,2015-02-12
49342,43870,123,Mauritania,CAF,2015-02-12
49343,44036,121,Moldova,UEFA,2015-02-12
49344,43825,121,Lebanon,AFC,2015-02-12
49345,43892,119,Zimbabwe,CAF,2015-02-12
49346,43809,157,Bangladesh,AFC,2015-02-12
49347,43875,118,Niger,CAF,2015-02-12
49348,43899,117,Canada,CONCACAF,2015-02-12
49349,43863,116,Kenya,CAF,2015-02-12
49350,43865,115,Liberia,CAF,2015-02-12
49351,43902,114,Cuba,CONCACAF,2015-02-12
49352,43866,113,Libya,CAF,2015-02-12
49353,43884,112,Sudan,CAF,2015-02-12
49354,43874,111,Namibia,CAF,2015-02-12
49355,43918,110,St. Vincent / Grenadines,CONCACAF,2015-02-12
49356,43834,109,Qatar,AFC,2015-02-12
49357,43903,108,Dominican Republic,CONCACAF,2015-02-12
49358,43886,107,Tanzania,CAF,2015-02-12
49359,43846,105,Botswana,CAF,2015-02-12
49360,43958,129,Luxembourg,UEFA,2015-02-12
49361,43956,130,Liechtenstein,UEFA,2015-02-12
49362,43916,119,St. Kitts and Nevis,CONCACAF,2015-02-12
49363,43894,132,Aruba,CONCACAF,2015-02-12
49364,43905,155,Grenada,CONCACAF,2015-02-12
49365,43994,131,Azerbaijan,UEFA,2015-02-12
49366,43827,154,Malaysia,AFC,2015-02-12
49367,20010,153,New Caledonia,OFC,2015-02-12
49368,43821,152,Korea DPR,AFC,2015-02-12
49369,43999,151,Kyrgyz Republic,AFC,2015-02-12
49370,43838,150,Syria,AFC,2015-02-12
49371,43867,148,Madagascar,CAF,2015-02-12
49372,44004,147,Turkmenistan,AFC,2015-02-12
49373,43852,146,Chad,CAF,2015-02-12
49374,43851,145,Central African Republic,CAF,2015-02-12
49375,43959,149,Malta,UEFA,2015-02-12
49376,43839,143,Thailand,AFC,2015-02-12
49377,43841,132,Vietnam,AFC,2015-02-12
49378,20000,144,Afghanistan,AFC,2015-02-12
49379,43828,135,Maldives,AFC,2015-02-12
49380,43978,136,New Zealand,OFC,2015-02-12
49381,20003,209,Bhutan,AFC,2015-02-12
49382,43833,132,Philippines,AFC,2015-02-12
49383,44027,139,Kazakhstan,UEFA,2015-02-12
49384,43917,140,St. Lucia,CONCACAF,2015-02-12
49385,43829,141,Myanmar,AFC,2015-02-12
49386,43896,142,Barbados,CONCACAF,2015-02-12
49387,43862,138,Guinea-Bissau,CAF,2015-02-12
